Paper_Title,Model,Cosine_Similarity,Sentence_BLEU_Score,Levenshtein_Distance,ROUGE-1,ROUGE-2,ROUGE-L,METEOR_Score,BERTScore_(F1),Generated_Flesch_Reading_Ease,Generated_Flesch-Kincaid_Grade,Corpus_BLEU_Score
Anthropometric and laboratory parameter alterations following bimaxillary orthognathic surgery,ChatGPT o3 mini,0.7342575788497925,0.018026242289617595,1429.0,0.39410681399631675,0.09981515711645102,0.2283609576427256,0.28699135416988303,0.834244966506958,8.77,17.0,
Anthropometric and laboratory parameter alterations following bimaxillary orthognathic surgery,Gemini (2.0) Flash Experimental,0.8519825339317322,0.05209327292807614,1112.0,0.39826839826839827,0.13478260869565217,0.24242424242424246,0.23468213890718378,0.8308031558990479,13.88,17.1,
Anthropometric and laboratory parameter alterations following bimaxillary orthognathic surgery,DeepSeek R1,0.805459201335907,0.11009756600268251,1136.0,0.43983402489626555,0.18333333333333335,0.2572614107883818,0.32175809853292675,0.8452460765838623,20.28,14.7,
Antibiotic prescribing pattern of oral health practitioners before and during the COVID-19 pandemic at Wits Oral Health Centre,ChatGPT o3 mini,0.8336697816848755,0.07152402300789253,1277.0,0.4918032786885246,0.18930041152263372,0.27459016393442626,0.41904857076360036,0.8851331472396851,9.69,16.7,
Antibiotic prescribing pattern of oral health practitioners before and during the COVID-19 pandemic at Wits Oral Health Centre,Gemini (2.0) Flash Experimental,0.8754593729972839,0.09716388978763958,1104.0,0.477326968973747,0.1918465227817746,0.23389021479713604,0.3183602083365155,0.8727307319641113,10.4,16.4,
Antibiotic prescribing pattern of oral health practitioners before and during the COVID-19 pandemic at Wits Oral Health Centre,DeepSeek R1,0.8476054668426514,0.07909768890279895,1149.0,0.4269141531322506,0.1351981351981352,0.22273781902552206,0.32846294797427944,0.8729532957077026,0.72,18.1,
"Applying the British Association of Oral and Maxillofacial Surgeons quality outcomes metrics to a regional Australian oncology and reconstructive service: benchmarking the data to audit clinical outcomes in emerging, regional, and small-volume centres",ChatGPT o3 mini,0.6886008977890015,0.09061741590626277,1405.0,0.3624733475479744,0.11991434689507494,0.17484008528784648,0.315029406236651,0.8552062511444092,2.58,19.4,
"Applying the British Association of Oral and Maxillofacial Surgeons quality outcomes metrics to a regional Australian oncology and reconstructive service: benchmarking the data to audit clinical outcomes in emerging, regional, and small-volume centres",Gemini (2.0) Flash Experimental,0.7616494297981262,0.11630235674663604,1122.0,0.3910891089108911,0.12437810945273632,0.19801980198019803,0.3170004528672326,0.8620871305465698,0.04,20.4,
"Applying the British Association of Oral and Maxillofacial Surgeons quality outcomes metrics to a regional Australian oncology and reconstructive service: benchmarking the data to audit clinical outcomes in emerging, regional, and small-volume centres",DeepSeek R1,0.6587955355644226,0.09549130758626236,1383.0,0.3888888888888889,0.11587982832618027,0.2051282051282051,0.3148919659969866,0.8519576787948608,15.41,16.6,
Arthroscopic anatomy of the anteromedial wall of the temporomandibular joint: Implications in articular disc displacement,ChatGPT o3 mini,0.7770906686782837,0.05101922520299065,1353.0,0.27586206896551724,0.11560693641618495,0.1781609195402299,0.3431801220578166,0.8514023423194885,26.3,14.4,
Arthroscopic anatomy of the anteromedial wall of the temporomandibular joint: Implications in articular disc displacement,Gemini (2.0) Flash Experimental,0.7451459765434265,0.10226293501856076,909.0,0.3308270676691729,0.1590909090909091,0.21052631578947367,0.3488996498293268,0.8618646264076233,17.74,15.7,
Arthroscopic anatomy of the anteromedial wall of the temporomandibular joint: Implications in articular disc displacement,DeepSeek R1,0.8326675891876221,0.06442744356894241,1274.0,0.31097560975609756,0.14723926380368096,0.20121951219512196,0.39708566359092207,0.8664716482162476,21.94,16.1,
Arthroscopic management and recent advancements in the treatment of temporomandibular joint disorders,ChatGPT o3 mini,0.8052008152008057,0.007893024146053196,1550.0,0.24332344213649854,0.035820895522388055,0.10089020771513353,0.25408348457350277,0.8533852100372314,-2.34,19.2,
Arthroscopic management and recent advancements in the treatment of temporomandibular joint disorders,Gemini (2.0) Flash Experimental,0.78322434425354,0.0039921834879164874,1198.0,0.21232876712328763,0.034482758620689655,0.11643835616438356,0.24384597184662887,0.849551796913147,18.25,15.5,
Arthroscopic management and recent advancements in the treatment of temporomandibular joint disorders,DeepSeek R1,0.8012573719024658,0.024023772839316164,1198.0,0.26621160409556316,0.048109965635738834,0.15017064846416384,0.26911525226830135,0.8547309041023254,10.09,16.5,
Arthroscopic treatment of temporomandibular dysfunction: preliminary results from a prospective follow up of over five years,ChatGPT o3 mini,0.8733606338500977,0.05166534379858777,1853.0,0.4538341158059468,0.14442700156985872,0.2190923317683881,0.29397551150480844,0.8389896154403687,29.14,13.3,
Arthroscopic treatment of temporomandibular dysfunction: preliminary results from a prospective follow up of over five years,Gemini (2.0) Flash Experimental,0.899750828742981,0.014519630633894484,1885.0,0.3971119133574007,0.14492753623188404,0.1768953068592058,0.2220210353016613,0.8341841697692871,36.69,12.5,
Arthroscopic treatment of temporomandibular dysfunction: preliminary results from a prospective follow up of over five years,DeepSeek R1,0.8757577538490295,0.040526513779244204,1844.0,0.440422322775264,0.1573373676248109,0.19306184012066366,0.29072030948011296,0.8464437127113342,40.45,11.1,
Assessing new bone formation after maxillary sinus augmentation surgery using right anterior iliac crest bone marrow aspirate and cancellous allograft,ChatGPT o3 mini,0.8891614675521851,0.060115344221187104,1248.0,0.462962962962963,0.1395348837209302,0.2175925925925926,0.3875985253248448,0.8698626756668091,20.89,14.4,
Assessing new bone formation after maxillary sinus augmentation surgery using right anterior iliac crest bone marrow aspirate and cancellous allograft,Gemini (2.0) Flash Experimental,0.8411169648170471,0.09573912654101902,900.0,0.4192634560906515,0.14814814814814814,0.2209631728045326,0.3243588444060639,0.8696628212928772,28.13,13.7,
Assessing new bone formation after maxillary sinus augmentation surgery using right anterior iliac crest bone marrow aspirate and cancellous allograft,DeepSeek R1,0.8651087284088135,0.07667523107346198,1108.0,0.4416873449131513,0.15461346633416462,0.19851116625310175,0.370230112940233,0.872393012046814,35.47,13.0,
